title,artist,genre,tempo,mood,style
Midnight City,M83,indie,fast,energetic,vintage
Electric Feel,MGMT,indie,medium,calm,funky
Take Me To Church,Hozier,rock,slow,sad,acoustic
Some Nights,fun.,pop,fast,energetic,normal
Adventure of a Lifetime,Coldplay,pop,fast,happy,funky
Clocks,Coldplay,pop,medium,calm,normal
Let It Go,Idina Menzel,pop,fast,empowered,normal
My Universe,Coldplay x BTS,pop,fast,happy,funky
Easy On Me,Adele,pop,slow,sad,acoustic
Perfect,Ed Sheeran,pop,slow,romantic,acoustic
Shape of You,Ed Sheeran,pop,fast,happy,normal
Castle on the Hill,Ed Sheeran,pop,fast,nostalgic,normal
Photograph,Ed Sheeran,pop,slow,sad,acoustic
Closer,The Chainsmokers,edm,fast,happy,normal
Don't Start Now,Dua Lipa,pop,fast,empowered,funky
New Rules,Dua Lipa,pop,fast,confident,normal
Break My Heart,Dua Lipa,pop,fast,emotional,funky
Waiting on a War,Foo Fighters,rock,medium,reflective,vintage
The Less I Know The Better,Tame Impala,indie,medium,melancholy,funky
Borderline,Tame Impala,indie,medium,calm,vintage
Lonely,Justin Bieber,pop,slow,sad,acoustic
Intentions,Justin Bieber,pop,medium,happy,normal
Ghost Town,Benson Boone,pop,slow,sad,acoustic
abcdefu,GAYLE,pop,fast,angry,normal
Numb Little Bug,Em Beihold,pop,medium,sad,funky
You Right,Doja Cat,r&b,medium,chill,normal
Vegas,Doja Cat,rap,fast,confident,funky
Woman,Doja Cat,pop,fast,happy,funky
Mood,24kGoldn,hip-hop,fast,happy,normal
Rockstar,DaBaby,hip-hop,fast,angry,normal
Goosebumps,Travis Scott,hip-hop,slow,moody,vintage
SICKO MODE,Travis Scott,hip-hop,fast,energetic,normal
Praise God,Kanye West,hip-hop,medium,dark,vintage
Flashing Lights,Kanye West,hip-hop,medium,cool,vintage
Good Morning,Kanye West,hip-hop,medium,uplifting,vintage
Fast Car,Tracy Chapman,folk,medium,sad,acoustic
Riptide,Vance Joy,indie,medium,happy,acoustic
Budapest,George Ezra,folk,medium,happy,normal
Take It All,Adele,soul,slow,emotional,acoustic
When I Was Your Man,Bruno Mars,soul,slow,sad,acoustic
Grenade,Bruno Mars,pop,medium,angry,normal
Treasure,Bruno Mars,funk,fast,happy,funky
Mirror,Lil Wayne,rap,slow,reflective,vintage
Lucid Dreams,Juice WRLD,hip-hop,slow,sad,vintage
Come & Go,Juice WRLD,pop,fast,emotional,normal
Happier,Marshmello,edm,fast,sad,normal
Silence,Marshmello,edm,medium,calm,normal
Faded,Alan Walker,edm,fast,melancholy,vintage
Alone,Alan Walker,edm,fast,uplifting,normal
Runaway,Aurora,indie,slow,dreamy,acoustic
Playing Games,Summer Walker,r&b,medium,calm,normal
